Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags
2017-12-31,0.98,38267341.61,13109617.49,13197460.59,644837.54,11315425.99,8092355.2,3098373.91,124696.88
2017-12-24,1.18,29102349.33,10027319.18,8964247.34,546373.81,9564409,7222270.69,2226794.39,115343.92
2017-12-17,1.07,30757767.03,10704214.26,9934618.43,574089.32,9544845.02,7149680.01,2260602.86,134562.15
2017-12-10,1.03,35634913.01,11943914.54,11659897.51,398348.55,11632752.41,8404955.25,3122650.26,105146.9
2017-12-03,1.09,33824253,11746980,10905968,583801,10587491,7730801,2748622,108068
2017-11-26,1.24,24686675,9175316,7312239,379637,7819483,5571801,2156887,90795
2017-11-19,1.17,29253484,11173132,7847059,416186,9817108,6662322,3059627,95159
2017-11-12,1.15,32336225,11512837,9994648,416643,10412097,7277327,3044847,89923
2017-11-05,1.19,32051594.24,11042128.27,9774987.75,400250.97,10834227.25,7470394.42,3275463.49,88369.34
2017-10-29,1.29,30237911.23,10596902.91,9803569.58,424755.66,9412683.08,6602082.25,2747519.87,63080.96
2017-10-22,1.44,26706971.51,9607586.96,8761192.74,409598.47,7928593.34,6074596.23,1804539.66,49457.45
2017-10-15,1.58,25031589.09,8769357.86,8534404.17,392119.12,7335707.94,5387869.35,1893510.99,54327.6
2017-10-08,1.65,24397166.19,8911144.2,7609509.9,391832.89,7484679.2,5444021.28,1976738.84,63919.08
2017-10-01,1.64,24610645.21,8342407.59,8354516.32,384794.18,7528927.12,5513111.7,1954129.38,61686.04
2017-09-24,1.62,24637148.38,8652381.39,8295761.93,385004.72,7304000.34,5442167.06,1792564.59,69268.69
2017-09-17,1.57,25394902.82,9153158.54,8328241.87,417270.7,7496231.71,5494163.7,1923561.42,78506.59
2017-09-10,1.56,26385081.36,9496485.27,8373234.08,487926.52,8027435.49,6035666.24,1818832.48,172936.77
2017-09-03,1.57,26808410.65,9775062.87,8565265.61,541902.88,7926179.29,5851814.47,1855970.25,218394.57
2017-08-27,1.47,28785279.75,10735709.61,8587105.6,517541.94,8944922.6,6592504,2117565.5,234853.1
2017-08-20,1.41,29913744.37,10507928.78,8837219.28,581074.35,9987521.96,6837126.12,2911554.48,238841.36
2017-08-13,1.33,32817254.13,10952703.84,11154310.29,624963.41,10085276.59,6687661.77,3118889.17,278725.65
2017-08-06,1.33,32529920.23,11292580.44,10988313.58,665312.55,9583713.66,6889925.78,2376269.93,317517.95
2017-07-30,1.32,31756097.22,11112191.11,11088082.78,596676.12,8959147.21,6337457.44,2396438.66,225251.11
