Date,AveragePrice
2016-01-03,1.43
2016-01-10,1.35
2016-01-17,1.44
2016-01-24,1.41
2016-01-31,1.43
2016-02-07,1.44
2016-02-14,1.37
2016-02-21,1.45
2016-02-28,1.44
2016-03-06,1.28
2016-03-13,1.29
2016-03-20,1.27
2016-03-27,1.44
2016-04-03,1.44
2016-04-10,1.26
2016-04-17,1.38
2016-04-24,1.25
2016-05-01,1.28
2016-05-08,1.3
2016-05-15,1.45
2016-05-22,1.36
2016-05-29,1.41
2016-06-05,1.43
2016-06-12,1.45
2016-06-19,1.45
2016-06-26,1.5
2016-07-03,1.47
2016-07-10,1.51
2016-07-17,1.63
2016-07-24,1.65
2016-07-31,1.58
2016-08-07,1.55
2016-08-14,1.48
2016-08-21,1.51
2016-08-28,1.49
2016-09-04,1.54
2016-09-11,1.52
2016-09-18,1.67
2016-09-25,1.69
2016-10-02,1.71
2016-10-09,1.52
2016-10-16,1.5
2016-10-23,1.63
2016-10-30,1.93
2016-11-06,1.68
2016-11-13,1.7
2016-11-20,1.63
2016-11-27,1.64
2016-12-04,1.56
2016-12-11,1.42
2016-12-18,1.43
2016-12-25,1.34
2017-01-01,1.48
2017-01-08,1.43
2017-01-15,1.44
2017-01-22,1.37
2017-01-29,1.43
2017-02-05,1.36
2017-02-12,1.41
2017-02-19,1.31
2017-02-26,1.21
2017-03-05,1.16
2017-03-12,1.38
2017-03-19,1.5
2017-03-26,1.29
2017-04-02,1.42
2017-04-09,1.43
2017-04-16,1.49
2017-04-23,1.61
2017-04-30,1.68
2017-05-07,1.57
2017-05-14,1.55
2017-05-21,1.71
2017-05-28,1.69
2017-06-04,1.64
2017-06-11,1.56
2017-06-18,1.71
2017-06-25,1.77
2017-07-02,1.74
2017-07-09,1.71
2017-07-16,1.78
2017-07-23,1.76
2017-07-30,1.78
2017-08-06,1.83
2017-08-13,1.88
2017-08-20,1.96
2017-08-27,2.09
2017-09-03,2.06
2017-09-10,2.03
2017-09-17,2
2017-09-24,1.94
2017-10-01,1.95
2017-10-08,1.9
2017-10-15,1.85
2017-10-22,1.82
2017-10-29,1.84
2017-11-05,1.82
2017-11-12,1.81
2017-11-19,1.77
2017-11-26,1.72
2017-12-03,1.62
2017-12-10,1.54
2017-12-17,1.57
2017-12-24,1.64
2017-12-31,1.52
2018-01-07,1.51
2018-01-14,1.59
2018-01-21,1.63
2018-01-28,1.61
2018-02-04,1.53
2018-02-11,1.56
2018-02-18,1.52
2018-02-25,1.57
2018-03-04,1.52
2018-03-11,1.52
2018-03-18,1.54
2018-03-25,1.55
2018-04-01,1.55
2018-04-08,1.55
2018-04-15,1.51
2018-04-22,1.5
2018-04-29,1.55
2018-05-06,1.55
2018-05-13,1.53
2018-05-20,1.51
2018-05-27,1.42
2018-06-03,1.45
2018-06-10,1.52
2018-06-17,1.41
2018-06-24,1.5
2018-07-01,1.56
2018-07-08,1.57
2018-07-15,1.58
2018-08-19,1.64
2018-08-26,1.65
2018-09-02,1.71
2018-09-09,1.7
2018-09-16,1.7
2018-09-23,1.68
2018-09-30,1.67
2018-10-07,1.63
2018-10-14,1.57
2018-10-21,1.52
2018-10-28,1.5
2018-11-04,1.5
2018-11-11,1.49
2018-11-18,1.48
2018-11-25,1.66
2018-12-02,1.58
