Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags
2017-12-31,1.52,1243940.09,120545.76,248123.56,1279.48,873874.64,723304.51,150460.36,109.77
2017-12-24,1.64,1179930.12,103199.55,247166.08,1143.57,828217.63,700331.83,127746.86,138.94
2017-12-17,1.57,1148617.16,94905.86,248498.73,982.45,803682.1,673202.55,130360.58,118.97
2017-12-10,1.54,1217680.36,94279.26,258003.98,1003.84,863843.93,647239.76,216359.41,244.76
2017-12-03,1.62,1119325,99317.88,269450.85,1108.2,749121.8,592524.24,156438.84,158.72
2017-11-26,1.72,957800.72,77759.93,204612.15,978.29,673887.41,574547.2,99074.42,265.79
2017-11-19,1.77,967886.13,88110.88,213230.36,834.3,665229.98,587077.23,77963.17,189.58
2017-11-12,1.81,1044591.43,93312.94,217612.9,1074.64,732279.99,643083.53,89180.07,16.39
2017-11-05,1.82,1068530.09,88073.16,244925.18,1059.63,733972.36,648557.69,85378.96,35.71
2017-10-29,1.84,1123703.61,88668.95,218858.34,1150.03,814723.26,718162,96481.09,80.17
2017-10-22,1.82,1180823.79,89301.75,229689.25,1309.82,860336.8,767148.14,93130.75,57.91
2017-10-15,1.85,1172057.19,103557.18,218881.54,1369.62,848040.34,771105.65,76927.27,7.42
2017-10-08,1.9,1164140.49,100744.58,231652.64,1224.99,830309.99,771846.48,58417.76,45.75
2017-10-01,1.95,1072521.35,100319.38,230053.24,1966.94,739701.61,658536.46,81088.57,76.58
2017-09-24,1.94,1125443.38,116338.61,237876.77,1182.85,769536.9,639021.62,130401.43,113.85
2017-09-17,2,1074567.7,140979.17,243233.57,891.6,689301.75,582096.9,107163.76,41.09
2017-09-10,2.03,1093955.66,114942.21,249231.14,940.89,728658.92,622445.79,106080.9,132.23
2017-09-03,2.06,1075538.53,113516,256920.07,2256.96,702628.91,571725.58,130801.89,101.44
2017-08-27,2.09,1045992.02,112812.39,250861.84,2119.14,680088.21,588832.95,91249.96,5.3
2017-08-20,1.96,1071538.25,108658.66,262747.8,1154.19,698734.9,608822.05,89904.05,8.8
2017-08-13,1.88,1014709.07,98007.24,230106.14,1414.21,684998.04,612544.62,72449.02,4.4
2017-08-06,1.83,1059971.14,112592.04,236015.15,1552.51,709619.31,598479.83,111139.48,0
2017-07-30,1.78,1091590.78,100332.24,270534.58,2135.74,718295.3,594392.07,123903.23,0
2017-07-23,1.76,1214158.19,113467.66,317184.04,3700.92,779486.6,624771.07,154712.59,2.94
2017-07-16,1.78,1148354.84,94267.55,311432.79,4766.71,733949.04,596197.98,137751.06,0
2017-07-09,1.71,1130374.7,109023.66,333458.24,3424.69,684468.11,485919.33,198548.78,0
2017-07-02,1.74,1173393.06,128156.1,360890.48,3393.83,680952.65,459881.11,221071.54,0
2017-06-25,1.77,1101009.92,123317.1,341073.87,2613.51,634005.44,411977.56,222027.88,0
2017-06-18,1.71,1304554.29,169434.58,442594.36,2140.13,690385.22,435150.06,255235.16,0
2017-06-11,1.56,1397448.17,160841.97,339777.07,3623.46,893205.67,468156.32,425049.35,0
2017-06-04,1.64,1352960.47,165665.93,387057.95,2865.59,797371,525280.48,272090.52,0
2017-05-28,1.69,1302205.55,163384.37,357431.2,3195.15,778194.83,497848.02,280346.81,0
2017-05-21,1.71,1210560.61,166985.41,351498.5,4322.99,687753.71,436225.68,251528.03,0
2017-05-14,1.55,1375125.12,164697.92,339920.6,4618.45,865888.15,566862.84,299025.31,0
2017-05-07,1.57,1394126.23,172722.76,386288.18,4161.33,830953.96,489455.97,341497.99,0
2017-04-30,1.68,1248175.29,199039.61,421709.78,5187.46,622238.44,400529.93,221708.51,0
2017-04-23,1.61,1190461.18,152604.41,347557.13,3245.62,687054.02,460390.87,226663.15,0
2017-04-16,1.49,1493331.28,176684.11,437947.67,5096.43,873603.07,576538.3,297064.77,0
2017-04-09,1.43,1387436.32,148803.12,362152.44,8972.11,867508.65,512721.31,354787.34,0
2017-04-02,1.42,1492167.41,183101.86,430841.87,3767.76,874455.92,557296.92,317159,0
2017-03-26,1.29,1581127.36,160491.66,355541.13,3888.05,1061206.52,586139.54,475066.98,0
2017-03-19,1.5,1284018.65,172196.56,411359.03,3304.62,697158.44,486101.39,211057.05,0
2017-03-12,1.38,1337596.89,152896.45,330081.75,3188.52,851430.17,491035.95,360394.22,0
2017-03-05,1.16,1619398.24,184006.16,374220.48,2542.94,1058628.66,497098.27,561530.39,0
2017-02-26,1.21,1436663.15,150448.17,368526.18,3747.77,913941.03,505040.3,408900.73,0
2017-02-19,1.31,1634877.11,250591.21,632101.53,3295.09,748889.28,433926.87,314962.41,0
2017-02-12,1.41,1060775.98,136636.34,297764.4,3486.2,622889.04,410668.26,212220.78,0
2017-02-05,1.36,1015621.03,136100.39,314011.26,2238.78,563270.6,342705.32,220565.28,0
2017-01-29,1.43,953206.1,131808.29,292584.44,3524.96,525288.41,346391.91,178896.5,0
2017-01-22,1.37,994282.98,115700.02,281786.33,6707.82,590088.81,401805.9,188282.91,0
2017-01-15,1.44,975724.28,121132.79,280287.84,8750.08,565553.57,400292.46,165261.11,0
2017-01-08,1.43,990721.83,117721.87,283532.68,8697.35,580769.93,379088.19,201681.74,0
2017-01-01,1.48,808971.88,99820.77,273329.61,4425.75,431395.75,273456,157939.75,0
